id,sciName (Clements/eBird/ML),comNameEn (Clements/eBird/ML),code (Clements/eBird/ML),sciName (IOC),comNameEn (IOC),comNameDe (IOC/DOG),sciName (GBIF),class (GBIF),order (GBIF),sciNameSynonyms
11889,Ovis aries,Sheep,t-11067775,,,,Ovis aries,Mammalia,Artiodactyla,"['Ovis aries', 'Ovis aries (Domestic type)', 'Ovis aries f. domestica']"
11892,Ovis canadensis,Bighorn Sheep,t-11077282,,,,Ovis canadensis,Mammalia,Artiodactyla,['Ovis canadensis']
11893,Oxalis pes-caprae,,,,,,,,,['Oxalis pes-caprae']
11894,Oxelytrum discicolle,,,,,,Oxelytrum discicolle,Insecta,Coleoptera,['Oxelytrum discicolle']
11895,Oxygyne shinzatoi,,,,,,,Insecta,Hymenoptera,['Oxygyne shinzatoi']
11896,Oxylabes madagascariensis,White-throated Oxylabes,whtoxy1,Oxylabes madagascariensis,White-throated Oxylabes,Weißkehl-Madagaskarsänger,Oxylabes madagascariensis,Aves,Passeriformes,['Oxylabes madagascariensis']
11897,Oxypogon cyanolaemus,Blue-bearded Helmetcrest,bubhel1,Oxypogon cyanolaemus,Blue-bearded Helmetcrest,Blaubart-Helmkolibri,Oxypogon cyanolaemus,Aves,Apodiformes,['Oxypogon cyanolaemus']
11898,Oxypogon guerinii,Green-bearded Helmetcrest,gnbhel1,Oxypogon guerinii,Green-bearded Helmetcrest,Grünbart-Helmkolibri,Oxypogon guerinii,Aves,Apodiformes,['Oxypogon guerinii']
11899,Oxypogon lindenii,White-bearded Helmetcrest,whbhel1,Oxypogon lindenii,White-bearded Helmetcrest,Weißbart-Helmkolibri,Oxypogon lindenii,Aves,Apodiformes,['Oxypogon lindenii']
11900,Oxypogon stuebelii,Buffy Helmetcrest,bufhel1,Oxypogon stuebelii,Buffy Helmetcrest,Violettbart-Helmkolibri,Oxypogon stuebelii,Aves,Apodiformes,['Oxypogon stuebelii']
11901,Oxyruncus cristatus,Sharpbill,sharpb1,Oxyruncus cristatus,Sharpbill,Flammenkopfbekarde,Oxyruncus cristatus,Aves,Passeriformes,['Oxyruncus cristatus']
11902,Oxythyrea funesta,,,,,,Oxythyrea funesta,Insecta,Coleoptera,['Oxythyrea funesta']
11903,Oxyura australis,Blue-billed Duck,blbduc1,Oxyura australis,Blue-billed Duck,Schwarzkinn-Ruderente,Oxyura australis,Aves,Anseriformes,['Oxyura australis']
11904,Oxyura ferruginea,Andean Duck,andduc1,Oxyura ferruginea,Andean Duck,Andenruderente,Oxyura ferruginea,Aves,Anseriformes,['Oxyura ferruginea']
11905,Oxyura jamaicensis,Ruddy Duck,rudduc,Oxyura jamaicensis,Ruddy Duck,Schwarzkopf-Ruderente,Oxyura jamaicensis,Aves,Anseriformes,['Oxyura jamaicensis']
11906,Oxyura leucocephala,White-headed Duck,whhduc1,Oxyura leucocephala,White-headed Duck,Weißkopf-Ruderente,Oxyura leucocephala,Aves,Anseriformes,['Oxyura leucocephala']
11907,Oxyura maccoa,Maccoa Duck,macduc1,Oxyura maccoa,Maccoa Duck,Afrikaruderente,Oxyura maccoa,Aves,Anseriformes,['Oxyura maccoa']
11908,Oxyura vittata,Lake Duck,lakduc1,Oxyura vittata,Lake Duck,Bindenruderente,Oxyura vittata,Aves,Anseriformes,['Oxyura vittata']
11909,Ozimops ridei,,,,,,Ozimops ridei,Mammalia,Chiroptera,['Ozimops ridei']
11910,Ozotoceros bezoarticus,,,,,,Ozotoceros bezoarticus,Mammalia,Artiodactyla,['Ozotoceros bezoarticus']
11911,Ozphyllum naskreckii,,,,,,Ozphyllum naskreckii,Insecta,Orthoptera,['Ozphyllum naskreckii']
11912,Pacarina puella,,,,,,Pacarina puella,Insecta,Hemiptera,['Pacarina puella']
11913,Pacarina schumanni,,,,,,Pacarina schumanni,Insecta,Hemiptera,['Pacarina schumanni']
11914,Pacarina shoemakeri,,,,,,Pacarina shoemakeri,Insecta,Hemiptera,['Pacarina shoemakeri']
11915,Pachnoda sinuata,,,,,,Pachnoda sinuata,Insecta,Coleoptera,['Pachnoda sinuata']
11916,Pachycare flavogriseum,Goldenface,dwawhi1,Pachycare flavogriseum,Goldenface,Goldstirnhuscher,Pachycare flavogriseum,Aves,Passeriformes,['Pachycare flavogriseum']
11917,Pachycephala albiventris,Green-backed Whistler,grbwhi1,Pachycephala albiventris,Green-backed Whistler,Olivrücken-Dickkopf,Pachycephala albiventris,Aves,Passeriformes,['Pachycephala albiventris']
11918,Pachycephala arctitorquis,Wallacean Whistler,walwhi1,Pachycephala arctitorquis,Wallacean Whistler,Weißhals-Dickkopf,Pachycephala arctitorquis,Aves,Passeriformes,['Pachycephala arctitorquis']
11919,Pachycephala aurea,Golden-backed Whistler,gobwhi1,Pachycephala aurea,Golden-backed Whistler,Gelbrücken-Dickkopf,Pachycephala aurea,Aves,Passeriformes,['Pachycephala aurea']
11920,Pachycephala balim,Baliem Whistler,golwhi2,Pachycephala balim,Baliem Whistler,Baliemdickkopf,Pachycephala balim,Aves,Passeriformes,['Pachycephala balim']
11921,Pachycephala caledonica,New Caledonian Whistler,necwhi3,Pachycephala caledonica,New Caledonian Whistler,Ockerbauch-Dickkopf,Pachycephala caledonica,Aves,Passeriformes,['Pachycephala caledonica']
11923,Pachycephala chlorura,Vanuatu Whistler,necwhi2,Pachycephala chlorura,Melanesian Whistler,Melanesiendickkopf,Pachycephala chlorura,Aves,Passeriformes,['Pachycephala chlorura']
11924,Pachycephala cinerea,Mangrove Whistler,manwhi1,Pachycephala cinerea,Mangrove Whistler,Schnäpperdickkopf,Pachycephala cinerea,Aves,Passeriformes,['Pachycephala cinerea']
11925,Pachycephala citreogaster,Bismarck Whistler,biswhi1,Pachycephala citreogaster,Bismarck Whistler,Bismarckdickkopf,Pachycephala citreogaster,Aves,Passeriformes,['Pachycephala citreogaster']
11926,Pachycephala collaris,Louisiade Whistler,louwhi1,Pachycephala collaris,Louisiade Whistler,Louisiadedickkopf,Pachycephala collaris,Aves,Passeriformes,['Pachycephala collaris']
11927,Pachycephala feminina,Rennell Whistler,renwhi1,Pachycephala feminina,Rennell Whistler,Rennelldickkopf,Pachycephala feminina,Aves,Passeriformes,['Pachycephala feminina']
11928,Pachycephala flavifrons,Samoan Whistler,samwhi1,Pachycephala flavifrons,Samoan Whistler,Diademdickkopf,Pachycephala flavifrons,Aves,Passeriformes,['Pachycephala flavifrons']
11929,Pachycephala fuliginosa,,,Pachycephala fuliginosa,Western Whistler,Ramsaydickkopf,Pachycephala fuliginosa,Aves,Passeriformes,['Pachycephala fuliginosa']
11930,Pachycephala calliope,Tenggara Whistler,rubwhi1,Pachycephala calliope,Rusty-breasted Whistler,,Pachycephala fulvotincta,Aves,Passeriformes,"['Pachycephala calliope', 'Pachycephala fulvotincta']"
