idx,sci_name,com_name,species_code,class_name,common_name_ru,common_name_de,common_name_es,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_zh-CN,common_name_bg,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_hr,common_name_es_EC,common_name_lt,common_name_fa,common_name_zh,common_name_cy
4928,Elaenia brachyptera,Coopmans's Elaenia,cooela1,aves,Короткокрылая эления,Braunrücken-Olivtyrann,Fiofío Alicorto,Coopmans's Elaenia,Élénie de Berlepsch,Coopmanselenia,elenia mała,ナリーニョギクタイランチョウ,coopmans's elaenia,elènia menuda de l'Equador,灰胸小拟霸鹟,Късокрила еления,nariñoelenia,ecuadorelenia,Ecuador Lille Elænia,elénia krátkokrídla,Еленія короткокрила,Coopman Elenyası,Coopmans's Elaenia,Kratkokrila elenija,Fiofío alicorto,Fiofío Alicorto,Coopmans's elaenia,sivkastogrla elenija,Elenia de Coopmans,Trumpasparnė elenija,Coopmans's Elaenia,Coopmans's Elaenia,Coopmans's Elaenia
4929,Elaenia cherriei,Hispaniolan Elaenia,graela4,aves,Hispaniolan Elaenia,Hispaniolan Elaenia,Fiofío de la Española,Hispaniolan Elaenia,Élénie d'Hispaniola,Hispaniola-elenia,elenia haitańska,Hispaniolan Elaenia,Hispaniolan Elaenia,elènia de la Hispaniola,海地拟霸鹟,Еспаньолска еления,hispaniolaelenia,hispaniolaelenia,Hispañiola Elænia,elénia haitská,Hispaniolan Elaenia,Hispanyola Elanyası,Hispaniolan Elaenia,Elenija sa Hispaniole,Fiofío de La Española,Fiofío de la Española,Hispaniolan Elaenia,Hispaniolan Elaenia,Fiofío de la Española,Hispaniolan Elaenia,Hispaniolan Elaenia,Hispaniolan Elaenia,Hispaniolan Elaenia
4930,Elaenia chiriquensis,Lesser Elaenia,lesela1,aves,Малая эления,Grauwangen-Olivtyrann,Fiofío Belicoso,elenie malá,Élénie menue,Kleine elenia,elenia cienkodzioba,コシラギクタイランチョウ,chibum,elènia menuda comuna,小拟霸鹟,Малка еления,gresselenia,mindre elenia,Lille Elænia,elénia štíhlozobá,Еленія мала,Küçük Elenya,savannielenia,Mala elenija,Fiofío belicoso,Fiofío Belicoso,Chibum,tamnorepa elenija,Elenia Menor,Mažoji elenija,ابروزردک کوچک,Lesser Elaenia,Elaenia bach
4931,Elaenia cristata,Plain-crested Elaenia,plcela1,aves,Хохлатая эления,Braunscheitel-Olivtyrann,Fiofío Crestado,elenie bezkorunkatá,Élénie huppée,Kapelenia,elenia płowa,エボシキクタイランチョウ,guaracava-de-topete-uniforme,elènia crestada,纯色冠拟霸鹟,Качулата еления,buskelenia,tofselenia,Topelænia,elénia chochlatá,Еленія чубата,Tepeli Elenya,pensaselenia,Ćubasta elenija,Fiofío crestado,Fiofío Crestado,Guaracava-de-barrete-uniforme,maslinastosmeđa elenija,Fío-Fío de Cresta Simple,Kuoduotoji elenija,ابروزردک کاکلساده,Plain-crested Elaenia,Elaenia crib-blaen
4932,Elaenia dayi,Great Elaenia,greela1,aves,Большая эления,Riesenolivtyrann,Fiofío de Day,elenie velká,Élénie de Day,Duida-elenia,elenia duża,オニギクタイランチョウ,guaracava-dos-tepuis,elènia de Day,中美拟霸鹟,Голяма еления,kjempeelenia,jätteelenia,Kæmpeelænia,elénia veľká,Еленія велика,Day Elenyası,isoelenia,Venecuelanska velika elenija,Fiofío de Day,Fiofío de Day,Guaracava-dos-tepuis,mrka elenija,Bobito Gigante,Didžioji elenija,ابروزردک بزرگ,Great Elaenia,Elaenia cawraidd
4933,Elaenia fallax,Blue Mountain Elaenia,graela3,aves,Антильская эления,Jamaikaolivtyrann,Maroíta Canosa,elenie antilská,Élénie sara,Antilliaanse elenia,elenia antylska,アンチルシラギクタイランチョウ,Blue Mountain Elaenia,elènia grossa de Jamaica,安岛拟霸鹟,Антилска еления,antillelenia,större jamaicaelenia,Jamaicaelænia,elénia sara,Blue Mountain Elaenia,Jamaika Elanyası,antillienelenia,Jamajkanska zelenoglava elenija,Blue Mountain Elaenia,Blue Mountain Elaenia,Blue Mountain Elaenia,Blue Mountain Elaenia,Blue Mountain Elaenia,Antilinė elenija,ابروزردک آنتیلی بزرگ,Blue Mountain Elaenia,Elaenia yr Antilles
4934,Elaenia flavogaster,Yellow-bellied Elaenia,yebela1,aves,Желтобрюхая эления,Gelbbauch-Olivtyrann,Fiofío Ventriamarillo,elenie chocholatá,Élénie à ventre jaune,Geelbuikelenia,elenia żółtobrzucha,キバラシラギクタイランチョウ,guaracava-de-barriga-amarela,elènia ventregroga,黄腹拟霸鹟,Жълтокорема еления,gulbukelenia,gulbukig elenia,Gulbuget Elænia,elénia žltobruchá,Еленія жовточерева,Sarı Karınlı Elenya,töyhtöelenia,Žutotrba elenija,Fiofío ventriamarillo,Mosquero Elenia Copetón,Guaracava-de-barriga-amarela,kukmasta elenija,Elenia Penachuda,Geltonpilvė elenija,ابروزردک شکمزرد,Yellow-bellied Elaenia,Elaenia torfelyn
4935,Elaenia frantzii,Mountain Elaenia,mouela1,aves,Горная эления,Nordanden-Olivtyrann,Fiofío Montano,elenie horská,Élénie montagnarde,Bergelenia,elenia górska,ミヤマキクタイランチョウ,mountain elaenia,elènia muntanyenca,山拟霸鹟,Северна планинска еления,bergelenia,bergelenia,Colombia Elænia,elénia horská,Еленія гірська,Dağ Elenya,vuorielenia,Severna planinska elenija,Fiofío montano,Mosquero Elenia de Montaña,Mountain elaenia,prugastokrila elenija,Bobito Copetón Montañero,Kalninė elenija,ابروزردک کوهی,Mountain Elaenia,Elaenia mynydd
4936,Elaenia gigas,Mottle-backed Elaenia,mobela1,aves,Чубатая эления,Schuppenolivtyrann,Fiofío Gigante,elenie šupinkohřbetá,Élénie écaillée,Geschubde elenia,elenia czubata,マダラシラギクタイランチョウ,mottle-backed elaenia,elènia banyuda,环背拟霸鹟,Ушата еления,hornelenia,fjällryggig elenia,Skælrygget Elænia,elénia mramorovaná,Еленія рогата,Benekli Elenya,suomuselkäelenia,Pirgava elenija,Fiofío gigante,Fiofío Gigante,Mottle-backed elaenia,dvoroga elenija,Elenia Cachudita,Taškuotoji elenija,ابروزردک پشتخالخالی,Mottle-backed Elaenia,Elaenia cefnfrith
4937,Elaenia martinica,Caribbean Elaenia,carela1,aves,Карибская эления,Weißkinn-Olivtyrann,Fiofío Caribeño,elenie karibská,Élénie siffleuse,Witbuikelenia,elenia karaibska,カリブシラギクタイランチョウ,caribbean elaenia,elènia del Carib,加勒比拟霸鹟,Карибска еления,karibelenia,karibelenia,Caribelænia,elénia karibská,Еленія карибська,Küçük Antil Elenyası,mangrove-elenia,Karipska elenija,Fiofío caribeño,Mosquero Elenia Caribeño,Caribbean elaenia,karipska elenija,Fiofío Caribeño,Karibinė elenija,ابروزردک کارائیبی,加勒比拟霸鹟,Elaenia’r Caribî
4938,Elaenia mesoleuca,Olivaceous Elaenia,oliela1,aves,Оливковая эления,Schlichtolivtyrann,Fiofío Oliváceo,elenie brazilská,Élénie olivâtre,Vale elenia,elenia oliwkowa,オリーブシラギクタイランチョウ,tuque,elènia olivàcia,绿拟霸鹟,Маслинова еления,olivenelenia,olivelenia,Olivenelænia,elénia olivová,Еленія оливкова,Zeytuni Elenya,viherelenia,Maslinasta elenija,Fiofío oliváceo,Fiofío Oliváceo,Tuque,maslinastoprsa elenija,Fiofío Oliváceo,Alyvinė elenija,ابروزردک زیتونی,Olivaceous Elaenia,Elaenia melynwyrdd
4939,Elaenia obscura,Highland Elaenia,higela2,aves,Тёмная эления,Hochland-Olivtyrann,Fiofío Oscuro,elenie vrchovinná,Élénie obscure,Hooglandelenia,elenia wyżynna,タカネキクタイランチョウ,highland elaenia,elènia fosca,高原拟霸鹟,Тъмна еления,skyggeelenia,höglandselenia,Højlandselænia,elénia hájová,Еленія темна,Esmer Elenya,ylänköelenia,Andska planinska elenija,Fiofío oscuro,Fiofío Oscuro,Highland elaenia,kratkokljuna elenija,Elenia Oscura,Tamsioji elenija,ابروزردک کوهستان,Highland Elaenia,Elaenia ucheldir
4940,Elaenia olivina,Tepui Elaenia,sieela2,aves,Венесуэльская эления,Tepuiolivtyrann,Fiofío de Tepuí,Tepui Elaenia,Élénie des tépuis,Tepuí-elenia,elenia wenezuelska,Tepui Elaenia,guaracava-serrana,elènia dels tepuis,黄腹岭拟霸鹟,Тепуйска еления,tepuielenia,tepuíelenia,Tepuí Elænia,elénia venezuelská,Еленія тепуйська,Tepui Elenyası,tepuielenia,Elenija iz Tepuija,Fiofío de tepuí,Fiofío de Tepuí,Guaracava-serrana,bjelotjemena elenija,Bobito de los Tepuyes,Venesuelinė elenija,ابروزردک تپوئی,Tepui Elaenia,Tepui Elaenia
4941,Elaenia pallatangae,Sierran Elaenia,sieela3,aves,Андская эления,Sierraolivtyrann,Fiofío de Pallatanga,elenie náhorní,Élénie de Pallantanga,Andeselenia,elenia andyjska,キイロシラギクタイランチョウ,sierran elaenia,elènia de Pallatanga,岭拟霸鹟,Южна планинска еления,fjellelenia,sierraelenia,Sierra Elænia,elénia vrchovská,Еленія андська,Pallatanga Elenyası,keltavatsaelenia,Sijerska elenija,Fiofío de Pallatanga,Fiofío de Pallatanga,Sierran elaenia,bjelopruga elenija,Elenia Serrana,Paljatanginė elenija,ابروزردک سیرا,Sierran Elaenia,Elaenia’r sierra
