1595929	Pseudis limellum	Uruguay harlequin frog
1595931	Dendropsophus molitor	Green Dotted Tree Frog
1596108	Lontra annectens	Northern Neotropical River Otter
1596110	Conepatus amazonicus	Amazon Hog-nosed Skunk
1596114	Lasiurus villosissimus	Southern Hoary Bat
1596121	Neoeptesicus furinalis	Argentine Serotine
1596123	Neoeptesicus chiriquinus	Chiriquinan Serotine
1596124	Neoeptesicus brasiliensis	Brazilian Serotine
1596127	Cnephaeus serotinus	Eurasian Serotine
1596130	Cnephaeus pachyomus	Oriental Serotine
1596132	Cnephaeus nilssonii	Northern Serotine
1596135	Cnephaeus isabellinus	Meridional Serotine
1596234	Sciurus nebouxii	White-naped Squirrel
1603044	Polionemobius taprobanensis	Polionemobius taprobanensis
1603072	Pycnogaster cucullata	Hooded Saddle Bush-cricket
1606328	Lactista aztecus	Aztec Grasshopper
1619039	Callosciurus concolor	Southern Gray-bellied Squirrel
1619249	Aola bindusara	Aola bindusara
1629047	Alytes almogavarii	Catalonian Midwife Toad
1632436	Carichyla bicolor	Northern Dwarf Tree Frog
1632441	Chlorohyla bella	Beautiful Tree Frog
1632443	Chlorohyla chloris	Red-eyed Tree Frog
1632446	Chlorohyla gracilenta	Dainty Tree Frog
1632450	Chlorohyla xanthomera	Orange-thighed Frog
1632452	Coggerdonia adelaidensis	Slender Tree Frog
1632550	Colleeneremia balatus	Slender bleating tree frog
1632554	Colleeneremia dentata	Bleating Tree Frog
1632555	Colleeneremia electrica	Buzzing Tree Frog
1632558	Colleeneremia quiritatus	screaming tree frog
1632559	Colleeneremia rubella	Desert Tree Frog
1632563	Cyclorana alboguttata	Striped Burrowing Frog
1632564	Cyclorana australis	Giant Burrowing Frog
1632565	Cyclorana brevipes	Short-footed Frog
1632566	Cyclorana cryptotis	Hidden-ear Frog
1632567	Cyclorana cultripes	Knife-footed Frog
1632568	Cyclorana longipes	Long-footed Frog
1632569	Cyclorana maculosa	Daly Waters Frog
1632578	Drymomantis cooloolensis	Cooloola Tree Frog
1632579	Drymomantis fallax	Eastern Dwarf Tree Frog
